subject block trial CurrentCondition TrialType CompType CurrentSampleIndex_1 CurrentSampleIndex_2 CurrentSample_1 CurrentSample_2 CurrentCue cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT cueValidity probe_loc probeMatch CurrentProbeSample correctProbeResp probeResp probeACC probemsecRT
OGWM_102_TBS 4 35 3 neutral neut_comp 4 1 down left X blue D D 1 Time-out 9 475 545 861 NA 1 non-match right d d 1 1112
OGWM_102_TBS 4 36 3 neutral neut_comp 4 2 down right X blue D D 1 Time-out 659 763 1299 No-drop NA 1 non-match left d NA 0 9999000
OGWM_102_TBS 5 1 3 neutral neut_incomp 2 3 right up X blue D D 1 Time-out 427 479 1191 1307 NA 2 match up s s 1 349
OGWM_102_TBS 5 2 1 compatible cued_comp 4 1 down left 1 blue D D 1 Time-out 87 533 707 909 valid 1 match down s s 1 648
OGWM_102_TBS 5 3 3 neutral neut_comp 3 2 up right X orange U U 1 Time-out 485 573 939 1089 NA 2 match right s s 1 1256
OGWM_102_TBS 5 4 2 incompatible uncued_comp 2 1 right left 1 green L L 1 Time-out 549 653 1049 1149 valid 1 non-match down d d 1 790
OGWM_102_TBS 5 5 2 incompatible incomp 1 3 left up 2 blue D D 1 Time-out 17 137 1343 1343 valid 2 non-match left d d 1 471
OGWM_102_TBS 5 6 2 incompatible uncued_comp 2 4 right down 2 pink R R 1 Time-out 51 415 813 947 valid 2 match down s s 1 502
OGWM_102_TBS 5 7 3 neutral neut_comp 1 3 left up X orange U U 1 Time-out 17 699 1287 1387 NA 2 match up s s 1 466
OGWM_102_TBS 5 8 1 compatible cued_comp 1 4 left down 1 green L L 1 Time-out 11 167 713 881 valid 1 non-match down d d 1 552
OGWM_102_TBS 5 9 2 incompatible uncued_comp 1 2 left right 2 green L  0 Time-out 15 67 No-move 853 valid 2 match right s s 1 1002
OGWM_102_TBS 5 10 3 neutral neut_incomp 4 3 down up X green L L 1 Time-out 465 499 625 813 NA 1 match down s d 0 1603
OGWM_102_TBS 5 11 1 compatible cued_comp 1 4 left down 2 blue D  0 Time-out 409 537 No-move 1735 valid 2 match down s s 1 666
OGWM_102_TBS 5 12 3 neutral neut_comp 2 3 right up X orange U U 1 Time-out 391 505 1393 1687 NA 2 non-match down d d 1 657
OGWM_102_TBS 5 13 2 incompatible incomp 3 2 up right 2 green L L 1 Time-out 477 547 841 973 invalid 1 non-match down d d 1 720
OGWM_102_TBS 5 14 1 compatible cued_comp 4 1 down left 2 green L L 1 Time-out 433 541 1181 1297 valid 2 match left s s 1 667
OGWM_102_TBS 5 15 3 neutral neut_incomp 3 4 up down X pink R R 1 Time-out 431 501 863 1031 NA 2 match down s s 1 866
OGWM_102_TBS 5 16 1 compatible cued_comp 2 1 right left 1 pink R R 1 Time-out 13 417 745 No-drop valid 1 match right s s 1 511
OGWM_102_TBS 5 17 1 compatible cued_comp 3 1 up left 2 green L L 1 Time-out 11 577 899 899 valid 2 non-match right d d 1 612
