subject session target block trial CurrentCondition TrialType CompType CurrentSampleIndex_1 CurrentSampleIndex_2 CurrentSample_1 CurrentSample_2 CurrentCue cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT cueValidity probe_loc probeMatch CurrentProbeSample correctProbeResp probeResp probeACC probemsecRT
OGWM_102 sess2 pfc 4 31 2 incompatible incomp 1 4 left down 2 pink R R 1 910 21 353 649 715 valid 2 non-match right d d 1 463
OGWM_102 sess2 pfc 4 32 1 compatible cued_comp 1 4 left down 1 green L L 1 1316 779 815 969 1157 valid 1 non-match down d d 1 477
OGWM_102 sess2 pfc 4 33 1 compatible cued_comp 1 3 left up 2 orange U U 1 796 529 547 617 767 valid 2 match up s s 1 427
OGWM_102 sess2 pfc 4 34 1 compatible cued_comp 4 1 down left 1 blue D D 1 692 379 429 587 651 valid 1 match down s s 1 436
OGWM_102 sess2 pfc 4 35 3 neutral neut_incomp 3 1 up left X blue D  0 Time-out 1473 1647 No-move No-drop NA 1 non-match right d d 1 730
OGWM_102 sess2 pfc 4 36 2 incompatible incomp 4 3 down up 1 green L L 1 924 435 487 797 797 valid 1 non-match left d d 1 486
OGWM_102 sess2 pfc 5 1 2 incompatible uncued_comp 2 4 right down 1 blue D D 1 1090 545 577 941 1075 valid 1 match right s s 1 426
OGWM_102 sess2 pfc 5 2 1 compatible cued_comp 4 1 down left 1 blue D D 1 738 377 411 533 667 valid 1 non-match left d d 1 482
OGWM_102 sess2 pfc 5 3 1 compatible cued_comp 1 3 left up 2 orange U U 1 672 319 353 473 555 valid 2 non-match down d d 1 456
OGWM_102 sess2 pfc 5 4 2 incompatible incomp 2 1 right left 1 blue D D 1 1206 573 607 969 1067 invalid 2 match left s s 1 582
OGWM_102 sess2 pfc 5 5 1 compatible cued_comp 3 1 up left 2 green L L 1 782 373 425 563 729 valid 2 match left s s 1 511
OGWM_102 sess2 pfc 5 6 3 neutral neut_incomp 2 3 right up X green L L 1 940 363 397 847 929 NA 2 match up s s 1 364
OGWM_102 sess2 pfc 5 7 3 neutral neut_incomp 4 3 down up X pink R R 1 758 21 433 501 617 NA 1 match down s s 1 351
OGWM_102 sess2 pfc 5 8 1 compatible cued_comp 4 3 down up 2 orange U U 1 1440 831 917 1331 1361 valid 2 match up s s 1 569
OGWM_102 sess2 pfc 5 9 1 compatible cued_comp 1 3 left up 1 green L L 1 794 11 359 651 751 valid 1 match left s s 1 443
OGWM_102 sess2 pfc 5 10 1 compatible cued_comp 4 2 down right 1 blue D D 1 994 457 509 831 No-drop valid 1 match down s s 1 490
OGWM_102 sess2 pfc 5 11 3 neutral neut_comp 3 4 up down X blue D D 1 728 301 389 579 713 NA 2 non-match right d d 1 623
OGWM_102 sess2 pfc 5 12 1 compatible cued_comp 4 2 down right 2 pink R R 1 960 543 641 727 913 valid 2 match right s s 1 408
OGWM_102 sess2 pfc 5 13 1 compatible cued_comp 2 4 right down 2 blue D D 1 808 319 353 457 539 valid 2 match down s s 1 568
OGWM_102 sess2 pfc 5 14 3 neutral neut_comp 1 4 left down X green L L 1 1338 721 773 1179 1313 NA 2 non-match left d s 0 498
OGWM_102 sess2 pfc 5 15 3 neutral neut_incomp 3 1 up left X blue D  0 Time-out 1549 1567 1617 No-drop NA 2 match left s s 1 894
OGWM_102 sess2 pfc 5 16 3 neutral neut_incomp 1 3 left up X blue D D 1 1516 1027 1061 1379 1497 NA 1 non-match up d d 1 563
OGWM_102 sess2 pfc 5 17 2 incompatible incomp 3 2 up right 2 green L L 1 910 405 421 825 No-drop valid 2 non-match up d d 1 494
OGWM_102 sess2 pfc 5 18 2 incompatible uncued_comp 3 4 up down 1 blue D D 1 722 393 427 513 647 valid 1 non-match left d d 1 741
OGWM_102 sess2 pfc 5 19 2 incompatible uncued_comp 2 1 right left 2 pink R R 1 1206 853 871 1027 1091 valid 2 match left s s 1 487
OGWM_102 sess2 pfc 5 20 2 incompatible incomp 2 4 right down 1 orange U U 1 1380 1107 1125 1245 1327 invalid 2 match down s s 1 484
OGWM_102 sess2 pfc 5 21 2 incompatible incomp 4 3 down up 1 green L L 1 1200 615 737 925 1127 valid 1 non-match up d d 1 530
OGWM_102 sess2 pfc 5 22 1 compatible cued_comp 3 1 up left 2 green L L 1 892 411 447 793 873 valid 2 match left s s 1 549
OGWM_102 sess2 pfc 5 23 2 incompatible incomp 4 2 down right 2 orange U U 1 984 15 83 823 975 invalid 1 non-match right d d 1 617
OGWM_102 sess2 pfc 5 24 2 incompatible incomp 1 4 left down 2 pink R R 1 824 9 355 731 No-drop valid 2 match down s s 1 616
OGWM_102 sess2 pfc 5 25 3 neutral neut_comp 2 3 right up X orange U U 1 824 18 315 557 673 NA 2 non-match right d d 1 592
OGWM_102 sess2 pfc 5 26 1 compatible cued_comp 2 1 right left 1 pink R R 1 1616 1231 1267 1439 1605 valid 1 match right s s 1 353
OGWM_102 sess2 pfc 5 27 3 neutral neut_incomp 3 4 up down X green L L 1 1754 1353 1371 1545 1713 NA 2 non-match right d d 1 533
OGWM_102 sess2 pfc 5 28 2 incompatible incomp 3 1 up left 2 blue D D 1 1030 733 751 837 1005 valid 2 non-match right d d 1 496
OGWM_102 sess2 pfc 5 29 3 neutral neut_comp 1 4 left down X blue D D 1 1772 1219 1431 1585 1633 NA 2 non-match right d d 1 477
OGWM_102 sess2 pfc 5 30 2 incompatible uncued_comp 1 4 left down 2 green L L 1 1074 249 491 559 937 valid 2 match down s s 1 555
OGWM_102 sess2 pfc 5 31 3 neutral neut_incomp 2 1 right left X blue D  0 Time-out 1275 1311 1603 No-drop NA 2 non-match up d d 1 429
OGWM_102 sess2 pfc 5 32 1 compatible cued_comp 3 1 up left 1 orange U U 1 1020 227 387 885 967 valid 1 match up s s 1 397
OGWM_102 sess2 pfc 5 33 2 incompatible incomp 4 1 down left 1 pink R R 1 734 373 407 527 625 valid 1 non-match right d d 1 510
OGWM_102 sess2 pfc 5 34 1 compatible cued_comp 1 2 left right 1 green L L 1 786 441 477 597 765 valid 1 non-match down d d 1 691
OGWM_102 sess2 pfc 5 35 3 neutral neut_comp 4 1 down left X green L L 1 1040 471 505 591 883 NA 1 non-match right d d 1 617
OGWM_102 sess2 pfc 5 36 3 neutral neut_comp 1 3 left up X green L L 1 1000 479 531 703 751 NA 1 non-match up d d 1 496
OGWM_102 sess2 pfc 6 1 3 neutral neut_incomp 4 3 down up X pink R R 1 724 203 447 569 651 NA 2 non-match down d d 1 421
OGWM_102 sess2 pfc 6 2 1 compatible cued_comp 4 1 down left 1 blue D D 1 940 379 431 847 No-drop valid 1 non-match right d d 1 485
OGWM_102 sess2 pfc 6 3 3 neutral neut_comp 3 2 up right X pink R R 1 1250 921 955 1109 1243 NA 2 match right s s 1 626
