,subject,target,TrialType,BlockType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4,movement_time_msecRT
162,OGWM_111,PFC_cTBS,compatible,invalid,5.391304347826087,485.2608695652174,642.5652173913044,766.0909090909091,840.4347826086956,1.0,803.2173913043479,1.0,0.0,0.0,-8.436426612355252,7.310378681243611,3.704230531642925,5.2720029698685416,355.17391304347825
163,OGWM_111,PFC_cTBS,compatible,neutral,2.6792452830188678,457.9433962264151,630.5283018867924,729.734693877551,815.5283018867924,1.0,880.433962264151,1.0,0.0,0.0,-30.744931582784375,-30.61520482908054,3.3549541162247327,3.5935750636769055,357.58490566037733
164,OGWM_111,PFC_cTBS,compatible,valid,6.987804878048781,432.3658536585366,592.1463414634146,708.1168831168832,808.0731707317074,1.0,748.890243902439,1.0,0.012195121951219513,0.024390243902439025,2.466423709449072,6.3891305285062625,5.1089089170548565,6.676494044747667,375.7073170731707
165,OGWM_111,PFC_cTBS,incompatible,invalid,5.373493975903615,501.96385542168673,686.4698795180723,791.0277777777778,889.4939759036145,1.0,752.8795180722891,0.9879518072289156,0.012048192771084338,0.07228915662650602,56.43957071119918,43.19893180722564,4.866474862143478,13.987982583355123,387.5301204819277
166,OGWM_111,PFC_cTBS,incompatible,neutral,2.76,519.22,670.4,786.1,882.44,1.0,916.3,0.98,0.02,0.04,4.07672565054149,23.562336829095692,7.227498594162446,10.800046021277058,363.22
167,OGWM_111,PFC_cTBS,incompatible,valid,7.0,519.7272727272727,728.0,817.0,916.8181818181819,1.0,858.3181818181819,1.0,0.09090909090909091,0.09090909090909091,18.94746644826083,17.013241175052034,10.139784977974514,13.683772905895257,397.09090909090907
168,OGWM_111,PFC_iTBS,compatible,invalid,4.869565217391305,438.9130434782609,596.9130434782609,686.1428571428571,776.8695652173913,1.0,667.0434782608696,1.0,0.0,0.0,24.106180591092812,40.131788048168765,5.83803690898349,7.270899367412531,337.95652173913044
169,OGWM_111,PFC_iTBS,compatible,neutral,4.461538461538462,425.21153846153845,599.4807692307693,704.1428571428571,762.5769230769231,1.0,634.9230769230769,1.0,0.0,0.019230769230769232,-74.54984012956436,-59.52047544090302,4.064076240581237,5.742259898839647,337.36538461538464
170,OGWM_111,PFC_iTBS,compatible,valid,5.626506024096385,412.50602409638554,560.6987951807229,657.4084507042254,742.9036144578313,1.0,678.7349397590361,1.0,0.0,0.024096385542168676,-10.647431118088138,-3.9549827125608226,4.572724119322814,8.11692848411395,330.3975903614458
171,OGWM_111,PFC_iTBS,incompatible,invalid,5.024096385542169,456.3975903614458,626.2289156626506,740.7432432432432,813.3975903614457,1.0,647.2289156626506,0.9879518072289156,0.03614457831325301,0.08433734939759036,-20.27878956361483,-17.75154284716985,10.267272048522903,15.046970673660967,357.0
172,OGWM_111,PFC_iTBS,incompatible,neutral,4.269230769230769,447.63461538461536,635.0192307692307,742.2380952380952,823.3846153846154,1.0,665.4230769230769,1.0,0.019230769230769232,0.11538461538461539,-1.0677569950114356,17.272526954563965,5.69447092064606,14.32707118870497,375.75
173,OGWM_111,PFC_iTBS,incompatible,valid,5.363636363636363,456.6363636363636,642.4545454545455,748.1111111111111,831.4545454545455,1.0,822.1363636363636,0.9545454545454546,0.045454545454545456,0.13636363636363635,-1.3449408126520461,-3.331419850572211,9.928894432646182,21.07167586566052,374.8181818181818
174,OGWM_111,no_TMS,compatible,invalid,5.565217391304348,521.7826086956521,673.3478260869565,790.7272727272727,866.2173913043479,1.0,788.8260869565217,1.0,0.0,0.0,9.071785481536969,-67.10297944236062,2.752351585638766,4.542248376950451,344.4347826086956
175,OGWM_111,no_TMS,compatible,neutral,3.6792452830188678,486.0,666.4716981132076,757.8541666666666,847.3584905660377,1.0,720.6037735849056,1.0,0.018867924528301886,0.018867924528301886,9.270165933361245,-3.6077523363409068,6.1424099439742275,7.655615826107608,361.35849056603774
176,OGWM_111,no_TMS,compatible,valid,5.625,459.4125,597.0875,730.379746835443,821.0125,1.0,679.175,1.0,0.0,0.0,-26.337388786649946,-21.45894424189312,4.024251727210934,4.793357655956054,361.6
177,OGWM_111,no_TMS,incompatible,invalid,5.743589743589744,507.0,690.7948717948718,781.2222222222222,865.2307692307693,1.0,741.0512820512821,1.0,0.02564102564102564,0.0641025641025641,-9.686610317664869,-6.44364373262699,7.307044466723958,14.692995063208796,358.2307692307692
178,OGWM_111,no_TMS,incompatible,neutral,3.7755102040816326,502.53061224489795,684.265306122449,783.0444444444445,895.0408163265306,1.0,736.7551020408164,1.0,0.02040816326530612,0.04081632653061224,-14.750263565213507,-7.194451624236203,8.367076989105257,12.005688907706642,392.51020408163265
179,OGWM_111,no_TMS,incompatible,valid,5.842105263157895,508.89473684210526,696.6842105263158,817.8888888888889,873.2631578947369,1.0,720.0,1.0,0.10526315789473684,0.15789473684210525,19.382451549093116,26.168159249488415,14.161945880525387,18.0675110810903,364.36842105263156
180,OGWM_112,PFC_cTBS,compatible,invalid,7.043478260869565,543.2608695652174,711.8695652173913,827.4347826086956,940.9565217391304,1.0,646.3478260869565,1.0,0.0,0.0,8.241751153485517,23.909255185453368,2.682319971532226,3.424440249798287,397.69565217391306
