,subject,target,TrialType,BlockType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4,movement_time_msecRT,trial_count,correction_proportion,correction_proportion_1_4
48,OGWM_104,no_TMS,compatible,invalid,96,14862.0,20484.0,20155.0,25968.0,24,14164,24,0.0,0.0,717.8546212802609,1087.0291577864152,74.21895758656757,135.34988536261477,11106.0,24.0,0.0,0.0
49,OGWM_104,no_TMS,compatible,neutral,272,29906.0,41045.0,38403.0,51374.0,51,30779,34,0.0,1.0,-2285.5663615170433,-2794.380597737789,208.31511238988531,431.8526486303281,21468.0,54.0,0.0,0.018518518518518517
50,OGWM_104,no_TMS,compatible,valid,454,39107.0,53197.0,60497.0,72427.0,82,53555,81,0.0,0.0,-733.0035301829577,352.5788002049418,291.42903460252774,360.96934806544533,33320.0,85.0,0.0,0.0
51,OGWM_104,no_TMS,incompatible,invalid,308,60132.0,78334.0,78451.0,96417.0,77,43658,75,1.0,2.0,2136.220860758733,104.28767828896883,402.60445767599936,542.5537256391726,36285.0,84.0,0.011904761904761904,0.023809523809523808
52,OGWM_104,no_TMS,incompatible,neutral,269,31866.0,43893.0,47869.0,53668.0,47,31153,28,1.0,4.0,-710.928407377544,456.2087163209012,328.81162270638697,600.5140824996341,21802.0,54.0,0.018518518518518517,0.07407407407407407
53,OGWM_104,no_TMS,incompatible,valid,120,14304.0,20428.0,19821.0,24738.0,20,11415,19,2.0,4.0,1166.7639855429159,1226.865030292312,345.39765582731735,633.5151089618755,10434.0,23.0,0.08695652173913043,0.17391304347826086
54,OGWM_105,PFC_cTBS,compatible,invalid,168,11922.0,15224.0,18694.0,20684.0,24,10933,24,0.0,1.0,301.92193491177886,-81.01748510189381,103.0122295823507,200.3162063401674,8762.0,24.0,0.0,0.041666666666666664
55,OGWM_105,PFC_cTBS,compatible,neutral,102,24595.0,31832.0,37313.0,42379.0,52,23606,52,1.0,2.0,-450.1518139567405,232.83221233365117,255.84320470892806,341.88374505407756,17784.0,54.0,0.018518518518518517,0.037037037037037035
56,OGWM_105,PFC_cTBS,compatible,valid,498,39533.0,49837.0,59193.0,67378.0,83,39687,82,2.0,2.0,391.53494500585293,2.4403372627236877,381.9505620099112,487.5274863905123,27845.0,84.0,0.023809523809523808,0.023809523809523808
57,OGWM_105,PFC_cTBS,incompatible,invalid,550,39914.0,53312.0,62712.0,70021.0,78,38679,77,5.0,12.0,1447.2682056604824,1857.8413032575618,877.8282139601567,1315.4951073022398,30107.0,84.0,0.05952380952380952,0.14285714285714285
58,OGWM_105,PFC_cTBS,incompatible,neutral,100,24585.0,32939.0,38330.0,43468.0,50,23088,50,3.0,5.0,-299.78238964579145,573.3723276585903,591.7163460790557,890.7064007063935,18883.0,54.0,0.05555555555555555,0.09259259259259259
59,OGWM_105,PFC_cTBS,incompatible,valid,132,10996.0,15144.0,17235.0,19522.0,22,10399,22,3.0,3.0,63.4083604572873,-266.8887449531899,325.0707390397654,391.7859958062669,8526.0,24.0,0.125,0.125
60,OGWM_105,PFC_iTBS,compatible,invalid,94,11183.0,14525.0,17305.0,19850.0,23,11748,22,1.0,1.0,-781.849823549041,-1099.3364114436588,176.68817397636775,225.7539058953368,8667.0,23.0,0.043478260869565216,0.043478260869565216
61,OGWM_105,PFC_iTBS,compatible,neutral,247,25084.0,32217.0,38872.0,45050.0,52,23933,52,1.0,1.0,1339.3919436634242,1692.8980214424116,240.14377807416017,308.7608884839626,19966.0,54.0,0.018518518518518517,0.018518518518518517
62,OGWM_105,PFC_iTBS,compatible,valid,504,38279.0,48661.0,58059.0,66783.0,80,39078,78,3.0,4.0,-9.340283145436757,-736.6235201684857,663.3314776406531,722.7225754125092,28504.0,84.0,0.03571428571428571,0.047619047619047616
63,OGWM_105,PFC_iTBS,incompatible,invalid,323,44966.0,59670.0,67133.0,78629.0,81,40764,80,5.0,8.0,3696.203216082997,4536.68493259709,996.742159357641,1264.8278069718292,33663.0,85.0,0.058823529411764705,0.09411764705882353
64,OGWM_105,PFC_iTBS,incompatible,neutral,242,26735.0,35890.0,41446.0,47841.0,52,27435,52,3.0,5.0,3820.2225536804813,3020.1862001661334,627.3860340625234,915.4283026849105,21106.0,54.0,0.05555555555555555,0.09259259259259259
65,OGWM_105,PFC_iTBS,incompatible,valid,147,11799.0,15383.0,17517.0,20058.0,23,11841,23,2.0,3.0,540.8403379782592,864.2565397933732,239.60842866639175,283.0751060371342,8259.0,24.0,0.08333333333333333,0.125
66,OGWM_105,no_TMS,compatible,invalid,130,10465.0,13759.0,15529.0,17552.0,21,10662,20,1.0,1.0,783.9398370475469,1118.594981281497,145.08977695081745,176.52137679307248,7087.0,23.0,0.043478260869565216,0.043478260869565216
67,OGWM_105,no_TMS,compatible,neutral,170,23609.0,30408.0,35201.0,41366.0,51,25186,51,1.0,1.0,2033.584406314419,1990.7390526322963,256.1996371309742,319.6055020847517,17757.0,54.0,0.018518518518518517,0.018518518518518517
68,OGWM_105,no_TMS,compatible,valid,468,38066.0,49680.0,57001.0,65108.0,82,41720,82,2.0,3.0,2378.5118105302267,1140.0505458247571,421.9989500481598,638.8955399475902,27042.0,84.0,0.023809523809523808,0.03571428571428571
69,OGWM_105,no_TMS,incompatible,invalid,487,42053.0,53158.0,61643.0,69672.0,81,39180,79,4.0,6.0,709.845681378334,1472.2706292972807,584.6917410094267,784.0251244157943,27619.0,85.0,0.047058823529411764,0.07058823529411765
70,OGWM_105,no_TMS,incompatible,neutral,175,25985.0,34320.0,39464.0,44280.0,52,26153,51,3.0,4.0,4201.0536642798015,3008.264174340755,398.0059687391589,565.8234055967224,18295.0,54.0,0.05555555555555555,0.07407407407407407
71,OGWM_105,no_TMS,incompatible,valid,136,12337.0,16187.0,18829.0,20681.0,24,11932,24,3.0,3.0,622.4179368108275,945.0613697149929,350.1097757315564,401.10502885851747,8344.0,24.0,0.125,0.125
72,OGWM_106,PFC_cTBS,compatible,invalid,97,11622.0,17426.0,18673.0,22164.0,20,15975,17,0.0,3.0,-611.708562927322,-306.366233672909,145.94970805760235,479.6783696296114,10542.0,23.0,0.0,0.13043478260869565
